capacity_config,carbon_price,C_AE,KSP,KBS,seed,total_cost,energy_cost,delay_cost,sp_share,bs_share,ae_share,avg_stay_time,masking_rate,runtime
constrained,260,1.05,1,1,8,300263.8677570466,298863.8677570466,1400.0,0.08,0.45,0.47,15.286254543258847,0.27805651966680756,5.698595599969849
constrained,260,1.05,1,1,9,292551.5551378236,291826.5551378236,725.0,0.08,0.46,0.46,14.919250553661366,0.21037370113592704,4.739250500046182
constrained,260,1.05,1,1,10,289496.9884609242,289096.9884609242,400.0,0.09,0.46,0.45,15.506642908607853,0.3012310262026384,5.378096300002653
constrained,320,1.2,1,1,1,304742.20190262544,302342.20190262544,2400.0,0.08,0.48,0.44,15.18211900849615,0.26690869107247417,5.469868700020015
constrained,320,1.2,1,1,2,327522.6381385212,324072.6381385212,3450.0,0.09,0.46,0.45,14.87237950442734,0.2599294662029483,5.447677300020587
constrained,320,1.2,1,1,3,322084.7909363352,316559.7909363352,5525.0,0.08,0.47,0.45,15.758009381937661,0.29283472392671583,6.069132299977355
constrained,320,1.2,1,1,4,304638.03637461783,300313.03637461783,4325.0,0.09,0.49,0.42,15.978085968991588,0.25036435672944185,6.401216000027489
constrained,320,1.2,1,1,5,312951.55102499377,305251.55102499377,7700.0,0.09,0.48,0.43,15.078798169875547,0.21284076718647435,5.836549200001173
constrained,320,1.2,1,1,6,316327.591491099,312202.591491099,4125.0,0.09,0.48,0.43,15.035143446572983,0.27416307918626187,5.524595499970019
constrained,320,1.2,1,1,7,328339.76012104796,325539.76012104796,2800.0,0.08,0.46,0.46,15.23086782016508,0.28140374574410904,5.4154676999896765
constrained,320,1.2,1,1,8,325623.9821432778,321623.9821432778,4000.0,0.08,0.46,0.46,15.49152238511116,0.282435336732381,6.231192199978977
constrained,320,1.2,1,1,9,317457.0820624254,315107.0820624254,2350.0,0.08,0.47,0.45,14.942951807906331,0.22563334339415028,4.687082199961878
constrained,320,1.2,1,1,10,314025.83439187706,312825.83439187706,1200.0,0.09,0.46,0.45,15.504367547271563,0.32558532825517644,5.4005617999937385
constrained,380,1.35,1,1,1,327405.70173205325,321505.70173205325,5900.0,0.09,0.48,0.43,15.347107251767238,0.2536190668696049,5.583416800014675
constrained,380,1.35,1,1,2,352462.1854363174,347962.1854363174,4500.0,0.09,0.47,0.44,15.12411289476732,0.22292601869369583,5.81067339994479
constrained,380,1.35,1,1,3,346610.9925099272,338210.9925099272,8400.0,0.08,0.48,0.44,15.780566558315657,0.321564912120462,5.580262000032235
constrained,380,1.35,1,1,4,327135.94475774554,319535.94475774554,7600.0,0.09,0.5,0.41,16.187146599321892,0.22977019773161633,6.267471200029831
constrained,380,1.35,1,1,5,336264.99286937213,328564.99286937213,7700.0,0.09,0.48,0.43,15.116154393714341,0.20217936481034293,5.734196399978828
constrained,380,1.35,1,1,6,340165.53414720355,336040.53414720355,4125.0,0.09,0.48,0.43,15.002361313109319,0.28561849436382486,5.5456188000389375
constrained,380,1.35,1,1,7,353607.8224619555,347682.8224619555,5925.0,0.08,0.47,0.45,15.301281891340281,0.28312259520827054,5.2917071999982
constrained,380,1.35,1,1,8,350683.4226748881,344983.4226748881,5700.0,0.09,0.46,0.45,15.43327705941222,0.28214717807893236,5.695567000017036
constrained,380,1.35,1,1,9,342009.2947120427,337659.2947120427,4350.0,0.09,0.47,0.44,15.080167284341357,0.2167020165280465,4.92123720003292
constrained,380,1.35,1,1,10,337974.917342708,333599.917342708,4375.0,0.09,0.47,0.44,15.64828940394905,0.2802871001514877,5.2171256999718025
